name,align,eye,hair,sex,year
Kara Zor-El,Good Characters,Blue Eyes,Blond Hair,Female Characters,2004
Jonah Hex,Good Characters,Blue Eyes,Blond Hair,Male Characters,1972
Rex Tyler,Good Characters,Blue Eyes,Brown Hair,Male Characters,1940
Pamela Isley,Neutral Characters,Green Eyes,Red Hair,Female Characters,1966
Pieter Cross,Good Characters,Blue Eyes,Black Hair,Male Characters,1999
Jonathan L. Thunder,Good Characters,Blue Eyes,Blond Hair,Male Characters,1940
Mari McCabe,Good Characters,Amber Eyes,Brown Hair,Female Characters,1981
Scott Free,Good Characters,Blue Eyes,Black Hair,Male Characters,1971
Martha Clark,Good Characters,Blue Eyes,White Hair,Female Characters,1986
John Zatara,Good Characters,Blue Eyes,Black Hair,Male Characters,1938
Jonathan Kent,Good Characters,Blue Eyes,White Hair,Male Characters,1986
Tatsu Yamashiro,Good Characters,Brown Eyes,Black Hair,Female Characters,1983
Lawrence Trainor,Good Characters,Blue Eyes,Blond Hair,Male Characters,1963
Brion Markov,Good Characters,Green Eyes,Strawberry Blond Hair,Male Characters,1983
Sanderson Hawkins,Good Characters,Blue Eyes,Blond Hair,Male Characters,1941
Jonathan Chambers,Good Characters,Blue Eyes,Blond Hair,Male Characters,1941
Orion,Good Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,1971
Thaal Sinestro,Neutral Characters,Yellow Eyes,Black Hair,Male Characters,1961
Cassandra Cain,Good Characters,Brown Eyes,Black Hair,Female Characters,1999
Jason Todd,Neutral Characters,Blue Eyes,Black Hair,Male Characters,1987
Jean-Paul Valley,Good Characters,Blue Eyes,Blond Hair,Male Characters,1992
Hippolyta,Good Characters,Blue Eyes,Black Hair,Female Characters,1987
Joseph Wilson,Neutral Characters,Green Eyes,Blond Hair,Male Characters,1984
Bernhard Baker,Good Characters,Blue Eyes,Blond Hair,Male Characters,1965
Sylvester Pemberton,Good Characters,Blue Eyes,Black Hair,Male Characters,1941
Jesse Chambers,Good Characters,Blue Eyes,Blond Hair,Female Characters,1992
Floyd Lawton,Neutral Characters,Blue Eyes,Brown Hair,Male Characters,1950
Tora Olafsdotter,Good Characters,Blue Eyes,White Hair,Female Characters,1988
Amanda Waller,Good Characters,Brown Eyes,Black Hair,Female Characters,1986
Jonathan Crane,Bad Characters,Blue Eyes,Brown Hair,Male Characters,1941
Shiera Sanders,Good Characters,Brown Eyes,Red Hair,Female Characters,1940
Maxwell Lord IV,Neutral Characters,Black Eyes,Brown Hair,Male Characters,1987
Jeb Stuart,Good Characters,Blue Eyes,Brown Hair,Male Characters,1961
Damian Wayne,Good Characters,Blue Eyes,Black Hair,Male Characters,1987
Big Barda,Good Characters,Blue Eyes,Black Hair,Female Characters,1971
Niles Caulder,Good Characters,Blue Eyes,Grey Hair,Male Characters,1963
James Corrigan,Good Characters,Blue Eyes,Red Hair,Male Characters,1940
Samuel Bradley,Good Characters,Grey Eyes,Grey Hair,Male Characters,1937
Richard Tyler,Good Characters,Brown Eyes,Brown Hair,Male Characters,1985
Todd Rice,Good Characters,Brown Eyes,Brown Hair,Male Characters,1983
Matrix,Good Characters,Blue Eyes,Blond Hair,Female Characters,1988
William Glenmorgan,Good Characters,Blue Eyes,Black Hair,Male Characters,1940
Stephanie Brown,Good Characters,Blue Eyes,Blond Hair,Female Characters,1992
Raymond Terrill,Good Characters,Green Eyes,Red Hair,Male Characters,1992
Adam Blake,Good Characters,Hazel Eyes,Brown Hair,Male Characters,1951
Jack Ryder,Good Characters,Blue Eyes,Black Hair,Male Characters,1968
Justin Arthur,Good Characters,Blue Eyes,Blond Hair,Male Characters,1941
Max Mercury,Good Characters,Blue Eyes,Grey Hair,Male Characters,1940
Abigail Arcane,Good Characters,Blue Eyes,White Hair,Female Characters,1973
Thomas Haukins,Good Characters,Blue Eyes,Blond Hair,Male Characters,1947
Travis Morgan,Good Characters,Blue Eyes,White Hair,Male Characters,1975
Gorilla Grodd,Bad Characters,Grey Eyes,Black Hair,Male Characters,1959
Talia al Ghul,Bad Characters,Brown Eyes,Brown Hair,Female Characters,1971
Patrick Dugan,Good Characters,Blue Eyes,Red Hair,Male Characters,1941
James Harper Clone,Good Characters,Blue Eyes,Brown Hair,Male Characters,1971
Thomas Kalmaku,Good Characters,Brown Eyes,Black Hair,Male Characters,1960
Gabrielle Doe,Good Characters,Blue Eyes,Blond Hair,Female Characters,1983
Henry Hall,Good Characters,Red Eyes,Brown Hair,Male Characters,1968
Connor Hawke,Good Characters,Green Eyes,Blond Hair,Male Characters,1994
Cyrus Gold,Bad Characters,Black Eyes,White Hair,Male Characters,1944
Edward Nashton,Neutral Characters,Blue Eyes,Black Hair,Male Characters,1988
Arisia Rrab,Good Characters,Yellow Eyes,Blond Hair,Female Characters,1981
William Magnus,Good Characters,Blue Eyes,Brown Hair,Male Characters,1962
Mary Batson,Good Characters,Blue Eyes,Brown Hair,Female Characters,1995
Jean Loring,Bad Characters,Green Eyes,Black Hair,Female Characters,1961
Grant Emerson,Good Characters,Blue Eyes,Black Hair,Male Characters,1994
Rita Farr,Good Characters,Brown Eyes,Brown Hair,Female Characters,1963
Jason Rusch,Good Characters,Brown Eyes,Black Hair,Male Characters,2004
Hector Hall,Good Characters,Blue Eyes,White Hair,Male Characters,1983
Jaime Reyes,Good Characters,Brown Eyes,Black Hair,Male Characters,2006
Daniel Leong,Good Characters,Black Eyes,Black Hair,Male Characters,1942
Vril Dox II,Good Characters,Green Eyes,Blond Hair,Male Characters,1964
Roy Raymond Sr.,Good Characters,Blue Eyes,Brown Hair,Male Characters,1949
Metron,Neutral Characters,Blue Eyes,Black Hair,Male Characters,1971
Hartley Rathaway,Good Characters,Blue Eyes,Red Hair,Male Characters,1959
Lana Lang,Good Characters,Green Eyes,Red Hair,Female Characters,1986
Rose Wilson,Good Characters,Blue Eyes,White Hair,Female Characters,1992
DeSaad,Bad Characters,Black Eyes,Black Hair,Male Characters,1971
Charles Taine,Good Characters,Black Eyes,Black Hair,Male Characters,1961
Bane,Bad Characters,Brown Eyes,Brown Hair,Male Characters,1993
Eve Eden,Neutral Characters,Blue Eyes,Blond Hair,Female Characters,1966
Harleen Quinzel,Bad Characters,Blue Eyes,Blond Hair,Female Characters,1999
Benjamin Turner,Neutral Characters,Brown Eyes,Black Hair,Male Characters,1975
Mark Mardon,Bad Characters,Blue Eyes,Black Hair,Male Characters,1960
Teth-Adam,Neutral Characters,Brown Eyes,Black Hair,Male Characters,1945
Catherine Grant,Good Characters,Blue Eyes,Blond Hair,Female Characters,1987
Terrence Sloane,Good Characters,Blue Eyes,Brown Hair,Male Characters,1942
Jason Blood,Good Characters,Blue Eyes,Red Hair,Male Characters,1972
Thomas Wayne,Good Characters,Brown Eyes,Brown Hair,Male Characters,1987
Arthur Light,Bad Characters,Black Eyes,Black Hair,Male Characters,1962
Artemis of Bana-Mighdall,Good Characters,Green Eyes,Red Hair,Female Characters,1994
Alanna Strange,Good Characters,Blue Eyes,Black Hair,Female Characters,1958
Nuidis Vulko,Good Characters,Blue Eyes,White Hair,Male Characters,1967
Steven Dayton,Good Characters,Blue Eyes,Brown Hair,Male Characters,1964
Lee Travis,Good Characters,Black Eyes,Black Hair,Male Characters,1938
Martin Stein,Good Characters,Brown Eyes,Grey Hair,Male Characters,1978
Unknown Soldier I,Good Characters,Blue Eyes,Blond Hair,Male Characters,1970
Giovanni Giuseppe,Neutral Characters,Blue Eyes,Blond Hair,Male Characters,1960
Cynthia Reynolds,Good Characters,Blue Eyes,Black Hair,Female Characters,1984
Victoria Vale,Good Characters,Blue Eyes,Red Hair,Female Characters,1948
Lucius Fox,Good Characters,Brown Eyes,Black Hair,Male Characters,1979
Ganthet,Good Characters,Green Eyes,White Hair,Male Characters,1992
Izaya,Good Characters,Grey Eyes,White Hair,Male Characters,1971
Rory Regan,Good Characters,Blue Eyes,Brown Hair,Male Characters,1976
Eclipso,Bad Characters,Red Eyes,Black Hair,Male Characters,1963
Kyle Morgan,Good Characters,Brown Eyes,Blond Hair,Male Characters,1957
Matthew Ryan,Good Characters,Blue Eyes,Red Hair,Male Characters,1957
Dinah Drake,Good Characters,Blue Eyes,Black Hair,Female Characters,1947
Robert Langstrom,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,1970
Sargent Steel,Good Characters,Blue Eyes,Brown Hair,Male Characters,1964
Victory,Good Characters,Black Eyes,White Hair,Male Characters,1941
Walter Haley,Good Characters,Brown Eyes,Brown Hair,Male Characters,1957
Charles Victor Szasz,Good Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,1967
Ares,Bad Characters,Red Eyes,Blond Hair,Male Characters,1987
Eradicator,Good Characters,Photocellular Eyes,Black Hair,Male Characters,1989
Emil Hamilton,Bad Characters,Hazel Eyes,Grey Hair,Male Characters,1987
Richard Swift,Neutral Characters,Grey Eyes,Black Hair,Male Characters,1942
Frederick Freeman,Good Characters,Blue Eyes,Black Hair,Male Characters,1995
Katar Hol,Good Characters,Blue Eyes,Black Hair,Male Characters,1989
Maxima,Good Characters,Brown Eyes,Red Hair,Female Characters,1989
Dawn Granger,Good Characters,Blue Eyes,White Hair,Female Characters,1988
Inza Cramer,Good Characters,Green Eyes,Strawberry Blond Hair,Female Characters,1940
Linda Danvers,Good Characters,Blue Eyes,Blond Hair,Female Characters,1996
Gunner MacKay,Good Characters,Blue Eyes,Blond Hair,Male Characters,1959
Antonia Monetti,Good Characters,Blue Eyes,Black Hair,Female Characters,1996
Jack Knight,Good Characters,Black Eyes,Black Hair,Male Characters,1994
Nimue Inwudu,Good Characters,Green Eyes,Black Hair,Female Characters,1978
Sarge Clay,Good Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,1959
Pallas Athena,Neutral Characters,Grey Eyes,Brown Hair,Female Characters,1958
Evan McCulloch,Bad Characters,Brown Eyes,Brown Hair,Male Characters,1989
Terrence Long,Good Characters,Blue Eyes,Red Hair,Male Characters,1981
Granny Goodness,Bad Characters,Blue Eyes,White Hair,Female Characters,1971
Dolphin,Good Characters,Blue Eyes,Silver Hair,Female Characters,1968
Zeus,Neutral Characters,Blue Eyes,White Hair,Male Characters,1941
Holly Robinson,Good Characters,Blue Eyes,Red Hair,Female Characters,1987
Martha Kane,Good Characters,Blue Eyes,Black Hair,Female Characters,1987
Jason Woodrue,Bad Characters,Red Eyes,Green Hair,Male Characters,1962
John Sargent,Good Characters,Brown Eyes,Brown Hair,Male Characters,1941
Dian Belmont,Good Characters,Hazel Eyes,Brown Hair,Female Characters,1940
Edward Bloomberg,Good Characters,Yellow Eyes,Grey Hair,Male Characters,1984
Leslie Thompkins,Good Characters,Blue Eyes,White Hair,Female Characters,1976
Tara Markov,Good Characters,Blue Eyes,Blond Hair,Female Characters,1991
Dmitri Pushkin,Good Characters,Brown Eyes,Brown Hair,Male Characters,1987
June Moone,Good Characters,Green Eyes,Black Hair,Female Characters,1966
Mia Dearden,Good Characters,Blue Eyes,Blond Hair,Female Characters,2001
Krypto,Good Characters,Blue Eyes,White Hair,Male Characters,1955
Ohiyesa I,Good Characters,Black Eyes,Black Hair,Male Characters,1949
Donald Richards,Good Characters,Brown Eyes,Brown Hair,Male Characters,1942
Zauriel,Good Characters,Red Eyes,White Hair,Male Characters,1997
Leonid Kovar,Good Characters,Green Eyes,Blond Hair,Male Characters,1968
Thomas Blake,Neutral Characters,Blue Eyes,Blond Hair,Male Characters,1963
Emily Briggs,Good Characters,Blue Eyes,Red Hair,Female Characters,1985
Lilith Clay,Good Characters,Green Eyes,Strawberry Blond Hair,Female Characters,1970
Thomas Tresser,Good Characters,Blue Eyes,Blond Hair,Male Characters,1980
Hans von Hammer,Good Characters,Blue Eyes,Red Hair,Male Characters,1965
William Polk,Good Characters,Blue Eyes,Brown Hair,Male Characters,1948
Lyla Michaels,Good Characters,Green Eyes,Blond Hair,Female Characters,1982
Jervis Tetch,Bad Characters,Blue Eyes,Red Hair,Male Characters,1948
Enya Wazzo,Good Characters,Blue Eyes,Black Hair,Female Characters,1989
Werner Vertigo,Neutral Characters,Blue Eyes,Blond Hair,Male Characters,1978
Sapphire Stagg,Neutral Characters,Blue Eyes,Blond Hair,Female Characters,1965
Zinda Blake,Good Characters,Blue Eyes,Blond Hair,Female Characters,1959
Aphrodite,Neutral Characters,Blue Eyes,Blond Hair,Female Characters,1941
Sarah Essen,Good Characters,Blue Eyes,Blond Hair,Female Characters,1987
Jade Nguyen,Bad Characters,Green Eyes,Black Hair,Female Characters,1983
Wing How,Good Characters,Brown Eyes,Black Hair,Male Characters,1938
Jack Drake,Good Characters,Black Eyes,Brown Hair,Male Characters,1989
Adolf Hitler,Bad Characters,Brown Eyes,Brown Hair,Male Characters,1942
Grace Choi,Good Characters,Brown Eyes,Red Hair,Female Characters,2003
Natasha Irons,Good Characters,Brown Eyes,Black Hair,Female Characters,1994
Katherine Spencer,Good Characters,Blue Eyes,Black Hair,Female Characters,2004
Stealth,Good Characters,Pink Eyes,White Hair,Female Characters,1989
Lorraine Reilly,Good Characters,Blue Eyes,Red Hair,Female Characters,1982
Noah Kuttler,Bad Characters,Green Eyes,Brown Hair,Male Characters,1976
Tefu00e9 Holland,Bad Characters,Blue Eyes,White Hair,Female Characters,1989
Hippolyta Trevor,Good Characters,Blue Eyes,Blond Hair,Female Characters,1983
Bizarro,Neutral Characters,Black Eyes,Black Hair,Male Characters,2000
Henry Henshaw,Bad Characters,Blue Eyes,Black Hair,Male Characters,1990
Maxine Hunkel,Good Characters,Green Eyes,Red Hair,Female Characters,2007
Dream,Neutral Characters,Black Eyes,Black Hair,Male Characters,1989
Wade Eiling,Bad Characters,Red Eyes,Brown Hair,Male Characters,1987
Black Manta,Bad Characters,Brown Eyes,Black Hair,Male Characters,1967
Felix Faust,Bad Characters,Brown Eyes,Black Hair,Male Characters,1962
Virgil Hawkins,Good Characters,Brown Eyes,Black Hair,Male Characters,1993
James Harper,Good Characters,Blue Eyes,Brown Hair,Male Characters,1942
Soranik Natu,Good Characters,Purple Eyes,Black Hair,Female Characters,2005
Anissa Pierce,Good Characters,Brown Eyes,Black Hair,Female Characters,2003
Henry King Jr.,Good Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,1983
Orm Marius,Bad Characters,Brown Eyes,Brown Hair,Male Characters,1966
Citizen Abra,Bad Characters,Blue Eyes,Black Hair,Male Characters,1962
Merlin,Neutral Characters,Black Eyes,White Hair,Male Characters,1936
William Payton,Good Characters,Brown Eyes,Brown Hair,Male Characters,1988
Danette Reilly,Good Characters,Blue Eyes,Red Hair,Female Characters,1981
Jonathan Tane,Good Characters,Blue Eyes,Blond Hair,Male Characters,1948
Ronald Troupe,Good Characters,Brown Eyes,Black Hair,Male Characters,1991
William Storm,Good Characters,Brown Eyes,Brown Hair,Male Characters,1964
Hermes,Neutral Characters,Blue Eyes,Blond Hair,Male Characters,1959
Timothy Hunter,Good Characters,Black Eyes,Black Hair,Male Characters,1990
Taghurrhu,Good Characters,Green Eyes,Orange Hair,Male Characters,1981
Sandra Wu-San,Neutral Characters,Brown Eyes,Black Hair,Female Characters,1976
Eobard Thawne,Bad Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,1963
William Zard,Bad Characters,Blue Eyes,Black Hair,Male Characters,1947
Arnold Wesker,Bad Characters,Blue Eyes,White Hair,Male Characters,1988
Philippus,Good Characters,Brown Eyes,Black Hair,Female Characters,1987
Miriam Delgado,Good Characters,Black Eyes,Black Hair,Female Characters,1991
Mikaal Tomas,Good Characters,Blue Eyes,Purple Hair,Male Characters,1976
Peter Ross,Good Characters,Blue Eyes,Blond Hair,Male Characters,1961
Suzanne King-Jones,Good Characters,Blue Eyes,Blond Hair,Female Characters,1997
Shayera Thal,Good Characters,Blue Eyes,Red Hair,Female Characters,1989
Mallah,Bad Characters,Brown Eyes,Brown Hair,Male Characters,1964
Congorilla,Good Characters,Blue Eyes,Gold Hair,Male Characters,1959
Thomas Elliot,Bad Characters,Blue Eyes,Red Hair,Male Characters,2003
Greta Hayes,Good Characters,Blue Eyes,Blond Hair,Female Characters,1998
Julia Deneiros,Good Characters,Blue Eyes,Grey Hair,Female Characters,1987
Etta Candy,Good Characters,Green Eyes,Brown Hair,Female Characters,1942
Thomas Bronson,Good Characters,Blue Eyes,Black Hair,Male Characters,2007
Karen Beecher,Good Characters,Brown Eyes,Black Hair,Female Characters,1976
Ellen Frazier,Good Characters,Green Eyes,Red Hair,Female Characters,1965
Simon Stagg,Bad Characters,Blue Eyes,White Hair,Male Characters,1965
Rex the Wonder Dog,Good Characters,Blue Eyes,White Hair,Male Characters,1952
Thomas Monaghan,Good Characters,Black Eyes,Black Hair,Male Characters,1993
Kalibak,Bad Characters,Red Eyes,Black Hair,Male Characters,1971
Drury Walker,Bad Characters,Red Eyes,Brown Hair,Male Characters,1951
Terrence Thirteen,Good Characters,Brown Eyes,Brown Hair,Male Characters,1951
Hannibal Hawkes,Good Characters,Black Eyes,Black Hair,Male Characters,1948
Circe,Bad Characters,Red Eyes,Purple Hair,Female Characters,1988
Baran Flinders,Bad Characters,Blue Eyes,Red Hair,Male Characters,1981
Mark Shaw,Good Characters,Blue Eyes,Brown Hair,Male Characters,1975
Neal Emerson,Bad Characters,Blue Eyes,Black Hair,Male Characters,1963
Cameron Chase,Good Characters,Green Eyes,Blond Hair,Female Characters,1998
John Corben,Bad Characters,Photocellular Eyes,Brown Hair,Male Characters,1987
Vanessa Kapatelis,Good Characters,Blue Eyes,Brown Hair,Female Characters,1987
Lian Harper,Good Characters,Green Eyes,Black Hair,Female Characters,1986
Malcolm Duncan,Good Characters,Brown Eyes,Black Hair,Male Characters,1970
Samuel Scudder,Bad Characters,Brown Eyes,Brown Hair,Male Characters,1959
Sasha Bordeaux,Good Characters,Blue Eyes,Black Hair,Female Characters,2000
Valentina Vostok,Good Characters,Blue Eyes,Blond Hair,Female Characters,1977
Paul Booker,Good Characters,Brown Eyes,Black Hair,Male Characters,1966
Abigail Hunkel,Good Characters,Black Eyes,Brown Hair,Female Characters,1939
Cyril Saunders,Good Characters,Hazel Eyes,White Hair,Male Characters,1937
Owen Mercer,Reformed Criminals,Blue Eyes,Red Hair,Male Characters,2004
Christopher Smith,Good Characters,Blue Eyes,Black Hair,Male Characters,1966
Roger Hayden,Bad Characters,Blue Eyes,Red Hair,Male Characters,1965
Hector Hammond,Bad Characters,Blue Eyes,Brown Hair,Male Characters,1961
Lorena Marquez,Good Characters,Brown Eyes,Brown Hair,Female Characters,2004
Boodikka,Good Characters,Green Eyes,Black Hair,Female Characters,1992
Samuel Lane,Bad Characters,Blue Eyes,Grey Hair,Male Characters,1987
Lashina,Bad Characters,Blue Eyes,Black Hair,Female Characters,1972
Curtis Metcalf,Good Characters,Brown Eyes,Black Hair,Male Characters,1993
Java,Bad Characters,Black Eyes,Black Hair,Male Characters,1965
Helena Sandsmark,Good Characters,Brown Eyes,Brown Hair,Female Characters,1996
Sarah Charles,Good Characters,Brown Eyes,Black Hair,Female Characters,1985
Richard Flag Jr.,Good Characters,Blue Eyes,Brown Hair,Male Characters,1959
Nathaniel Heywood,Good Characters,Green Eyes,Red Hair,Male Characters,2007
Hugh Dawkins,Good Characters,White Eyes,Blond Hair,Male Characters,1986
Neron,Bad Characters,White Eyes,Blond Hair,Male Characters,1995
Victor Zsasz,Bad Characters,Blue Eyes,Blond Hair,Male Characters,1992
Kay Challis,Good Characters,Blue Eyes,Black Hair,Female Characters,1989
Roland Desmond,Bad Characters,Brown Eyes,Brown Hair,Male Characters,1965
Carl Sands,Bad Characters,Brown Eyes,Black Hair,Male Characters,1961
Dane Dorrance,Good Characters,Brown Eyes,Brown Hair,Male Characters,1960
Flying Cloud,Good Characters,Brown Eyes,Brown Hair,Male Characters,1960
Peter Merkel Jr.,Bad Characters,Grey Eyes,Red Hair,Male Characters,2005
Garryn Bek,Good Characters,Blue Eyes,Brown Hair,Male Characters,1989
Jose Delgado,Good Characters,Brown Eyes,Black Hair,Male Characters,1987
Cain,Bad Characters,Black Eyes,Brown Hair,Male Characters,1968
Steven Trevor,Good Characters,Blue Eyes,Blond Hair,Male Characters,1941
Edgar Cizko,Bad Characters,Blue Eyes,Black Hair,Male Characters,1991
Louise Lincoln,Bad Characters,Blue Eyes,Blue Hair,Female Characters,1984
Brian Savage,Good Characters,Blue Eyes,Black Hair,Male Characters,1977
Thomas Oscar Morrow,Bad Characters,Blue Eyes,Brown Hair,Male Characters,1964
Kingsley Faraday,Good Characters,Blue Eyes,White Hair,Male Characters,1950
Clifford Zmeck,Bad Characters,Blue Eyes,Brown Hair,Male Characters,1988
Nabu,Good Characters,Blue Eyes,White Hair,Male Characters,1941
Bleez,Neutral Characters,Blue Eyes,Black Hair,Female Characters,2008
Catherine Cobert,Good Characters,Blue Eyes,Black Hair,Female Characters,1987
Harry Stein,Good Characters,Brown Eyes,Brown Hair,Male Characters,1985
Adeline Kane,Neutral Characters,Green Eyes,Brown Hair,Female Characters,1983
Tara Markov,Bad Characters,Blue Eyes,Blond Hair,Female Characters,1982
Hop Harrigan,Good Characters,Blue Eyes,Blond Hair,Male Characters,1939
Vath Sarn,Good Characters,Black Eyes,Black Hair,Male Characters,2005
Mercy Graves,Bad Characters,Blue Eyes,Blond Hair,Female Characters,1999
Arnold Munro,Good Characters,Blue Eyes,Black Hair,Male Characters,1987
Bibbo Bibbowski,Good Characters,Grey Eyes,Grey Hair,Male Characters,1987
Jebediah of Canaan,Good Characters,Blue Eyes,White Hair,Male Characters,1987
Lawrence Bolatinsky,Bad Characters,Blue Eyes,Black Hair,Male Characters,1984
Lydea Mallor,Good Characters,Blue Eyes,Black Hair,Female Characters,1982
Tana Moon,Good Characters,Brown Eyes,Black Hair,Female Characters,1993
Maxine Baker,Good Characters,Green Eyes,Red Hair,Female Characters,1988
Jason Bard,Good Characters,Brown Eyes,Brown Hair,Male Characters,1969
Krona,Bad Characters,Green Eyes,White Hair,Male Characters,1965
Daniel Dunbar,Good Characters,Blue Eyes,Red Hair,Male Characters,1942
Scandal Savage,Bad Characters,Brown Eyes,Brown Hair,Female Characters,2005
Karen Lou Faulkner,Neutral Characters,Brown Eyes,Brown Hair,Female Characters,1987
Kent V. Nelson,Good Characters,Brown Eyes,Blond Hair,Male Characters,2007
Janos Prohaska,Good Characters,Blue Eyes,Black Hair,Male Characters,1988
Edward Fyers,Good Characters,Blue Eyes,Brown Hair,Male Characters,1987
Mister Mxyzptlk,Neutral Characters,Black Eyes,White Hair,Male Characters,1987
Jor-El,Good Characters,Blue Eyes,Black Hair,Male Characters,1986
Yolanda Montez,Good Characters,Brown Eyes,Reddish Brown Hair,Female Characters,1985
William Hand,Bad Characters,Brown Eyes,Black Hair,Male Characters,1964
Molly Mayne,Good Characters,Green Eyes,Red Hair,Female Characters,1947
Amy Winston,Good Characters,Violet Eyes,Blond Hair,Female Characters,1983
Klarion Bleak,Neutral Characters,Black Eyes,Black Hair,Male Characters,1973
Mark Merlin,Good Characters,Blue Eyes,Brown Hair,Male Characters,1959
Garfield Lynns,Bad Characters,Blue Eyes,White Hair,Male Characters,1952
David Reid,Neutral Characters,Blue Eyes,Blond Hair,Male Characters,2008
Emil LaSalle,Bad Characters,Brown Eyes,Black Hair,Male Characters,1981
Clifford Carmichael,Bad Characters,Brown Eyes,Brown Hair,Male Characters,1978
Morgaine le Fey,Bad Characters,Black Eyes,Black Hair,Female Characters,1972
Per Degaton,Bad Characters,Red Eyes,Red Hair,Male Characters,1947
Roxanne Leech,Good Characters,Blue Eyes,Blond Hair,Female Characters,1993
Paco Ramone,Good Characters,Brown Eyes,Brown Hair,Male Characters,1984
Bette Sans Souci,Bad Characters,Blue Eyes,Red Hair,Female Characters,1982
Martha Roberts,Good Characters,Brown Eyes,Brown Hair,Female Characters,1939
Angela Hawkins III,Bad Characters,Green Eyes,Black Hair,Female Characters,1981
Pren,Good Characters,Blue Eyes,Red Hair,Male Characters,1981
Arthur Brown,Bad Characters,Blue Eyes,Blond Hair,Male Characters,1966
Richard Starr,Good Characters,Blue Eyes,Black Hair,Male Characters,1958
